circuit,computational_fidelity,exec_time,experiment,n_gates,n_local_gates,n_qpus,n_qubits,n_remote_gates,network,p_c,p_d,p_e,p_ent,p_t,prefetch_time,seed,total_time
adr4_197,1.2598429939069366e-195,2940509.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,static_line,0.16,0.8,0.8,0.004734976,0.85,1000.0,7.0,2941509.0
adr4_197,1.110913943128203e-171,2793719.0,exp_pc,3424.0,1926.0,16.0,13.0,1498.0,static_grid,0.16,0.8,0.8,0.004734976,0.85,2000.0,7.0,2795719.0
0410184_169,3.3707329757294493e-10,85020.0,exp_pc,203.0,99.0,14.0,14.0,104.0,qmsn,0.16,0.8,0.8,0.004734976,0.85,110.0,7.0,85130.0
0410184_169,3.8311319776579646e-10,92647.5,exp_pc,203.0,99.0,14.0,14.0,104.0,mpqn,0.16,0.8,0.8,0.004734976,0.85,35.0,7.0,92682.5
0410184_169,3.2843208733199005e-15,175205.0,exp_pc,203.0,99.0,14.0,14.0,104.0,static_line,0.16,0.8,0.8,0.004734976,0.85,4000.0,7.0,179205.0
0410184_169,1.7771391526879408e-13,134709.0,exp_pc,203.0,99.0,16.0,14.0,104.0,static_grid,0.16,0.8,0.8,0.004734976,0.85,3000.0,7.0,137709.0
z4_268,1.9340891930648412e-121,1385660.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,qmsn,0.16,0.8,0.8,0.004734976,0.85,220.0,7.0,1385880.0
z4_268,5.160258113627826e-122,1352575.5,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,mpqn,0.16,0.8,0.8,0.004734976,0.85,78.0,7.0,1352653.5
z4_268,1.024992505818698e-157,2397214.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,static_line,0.16,0.8,0.8,0.004734976,0.85,2000.0,7.0,2399214.0
z4_268,4.482991011965798e-142,2446212.0,exp_pc,3062.0,1719.0,12.0,11.0,1343.0,static_grid,0.16,0.8,0.8,0.004734976,0.85,3000.0,7.0,2449212.0
cnt3-5_180,4.979962981352541e-20,187870.0,exp_pc,485.0,270.0,16.0,16.0,215.0,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,7.0,187980.0
cnt3-5_180,3.847280516958523e-20,164934.5,exp_pc,485.0,270.0,16.0,16.0,215.0,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,64.0,7.0,164998.5
cnt3-5_180,4.8051539265517266e-29,354601.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,7.0,355601.0
cnt3-5_180,1.2658284935730391e-23,328706.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,7.0,329706.0
adr4_197,3.2098109434054944e-135,1512820.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,7.0,1512930.0
adr4_197,5.324059614670523e-136,1510182.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,64.0,7.0,1510246.0
adr4_197,1.2598429939069366e-195,2945809.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,7.0,2946809.0
adr4_197,1.110913943128203e-171,2791719.0,exp_pc,3424.0,1926.0,16.0,13.0,1498.0,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,2000.0,7.0,2793719.0
0410184_169,2.880567616492129e-10,94700.0,exp_pc,203.0,99.0,14.0,14.0,104.0,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,7.0,94810.0
0410184_169,3.916910370304554e-10,76436.0,exp_pc,203.0,99.0,14.0,14.0,104.0,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,26.0,7.0,76462.0
0410184_169,3.2843208733199025e-15,176006.0,exp_pc,203.0,99.0,14.0,14.0,104.0,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,3000.0,7.0,179006.0
0410184_169,1.3150153416132472e-12,139207.0,exp_pc,203.0,99.0,16.0,14.0,104.0,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,7.0,140207.0
z4_268,2.263199163852524e-121,1349030.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,7.0,1349140.0
z4_268,5.112563214452687e-122,1264514.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,64.0,7.0,1264578.0
z4_268,1.024992505818698e-157,2396614.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,2000.0,7.0,2398614.0
z4_268,4.482991011965798e-142,2441918.0,exp_pc,3062.0,1719.0,12.0,11.0,1343.0,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,3000.0,7.0,2444918.0
