circuit,computational_fidelity_mean,computational_fidelity_std,exec_time_mean,exec_time_std,experiment,network,p_c,p_d,p_e,p_ent,p_t,prefetch_time_mean,prefetch_time_std,runs,total_time_mean,total_time_std
adr4_197,1.2598429939069366e-195,0.0,2945809.0,0.0,exp_pc,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,0.0,1.0,2946809.0,0.0
adr4_197,1.110913943128203e-171,0.0,2791719.0,0.0,exp_pc,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,2000.0,0.0,1.0,2793719.0,0.0
0410184_169,2.880567616492129e-10,0.0,94700.0,0.0,exp_pc,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,0.0,1.0,94810.0,0.0
0410184_169,3.916910370304554e-10,0.0,76436.0,0.0,exp_pc,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,26.0,0.0,1.0,76462.0,0.0
0410184_169,3.2843208733199025e-15,0.0,176006.0,0.0,exp_pc,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,3000.0,0.0,1.0,179006.0,0.0
0410184_169,1.3150153416132472e-12,0.0,139207.0,0.0,exp_pc,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,0.0,1.0,140207.0,0.0
z4_268,2.263199163852524e-121,0.0,1349030.0,0.0,exp_pc,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,0.0,1.0,1349140.0,0.0
z4_268,5.112563214452687e-122,0.0,1264514.0,0.0,exp_pc,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,64.0,0.0,1.0,1264578.0,0.0
z4_268,1.024992505818698e-157,0.0,2396614.0,0.0,exp_pc,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,2000.0,0.0,1.0,2398614.0,0.0
z4_268,4.482991011965798e-142,0.0,2441918.0,0.0,exp_pc,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,3000.0,0.0,1.0,2444918.0,0.0
